Month,VIRTUAL_PATH,Downloads
2017-02,/COMPTOX/NCCT_Publication_Data/Houck_Karmaus/ToxCast_Food_Relevant/Karmaus_SuppFile1_Chemical_Inventories.xlsx,397
2017-02,/COMPTOX/High_Throughput_Screening_Data/Summary_Files/README_INVITRODB_V2_SUMMARY.pdf,288
2017-02,/COMPTOX/High_Throughput_Screening_Data/Animal_Tox_Data/readme_toxrefdb_20141106.pdf,275
2017-02,/COMPTOX/High_Throughput_Screening_Data/Assay_Information/README_INVITRODB_V2_ASSAYINFO.pdf,270
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung_2016_RTX/@Knowledgebase/Gagne10USDA.pdf,266
2017-02,/COMPTOX/High_Throughput_Screening_Data/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.pdf,266
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung_2016_RTX/@Knowledgebase/Slott91RT5.pdf,249
2017-02,/COMPTOX/High_Throughput_Screening_Data/DSSTox_Oct_2015/DSSTox_ToxCastRelease_20151019.zip,165
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20131009 Plate 4.xlsx,163
2017-02,/COMPTOX/TEMP/Retinoid_DRP/lit_retinoid_ag_antag.xlsm,162
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung et al. 2016_EHP/Repro_effects_bychem.xlsm,162
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20131015 Plate 8.xlsx,158
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung_2016_RTX/@Knowledgebase/Löhr11ARP73.pdf,154
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130923 Plate 6.xlsx,154
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung_2016_RTX/@Knowledgebase/Shaughnessy10M10.pdf,151
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130903 Plate 3.xlsx,150
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung_2016_RTX/@Knowledgebase/Patel13SOT52.pdf,150
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130923 Plate 1.xlsx,145
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130909 Plate 2.xlsx,145
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130829 Plate 1.xlsx,144
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung_2016_RTX/@Knowledgebase/Goldstein13SOT52.pdf,141
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130930 Plate 4.xlsx,140
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung_2016_RTX/@Knowledgebase/Johnson12TS129.pdf,139
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130905 Plate 4.xlsx,135
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130930 Plate 5.xlsx,135
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130923 Plate 4.xlsx,134
2017-02,/COMPTOX/TEMP/Retinoid_DRP/Retinoid_DRP_tool_MaleRepro_v3.xlsm,133
2017-02,/COMPTOX/STAFF/khouck/RawData_IVMN/20130925 Plate 3.xlsx,131
2017-02,/COMPTOX/NCCT_Publication_Data/Knudsen/Virtual_Tissues_Male_Repro_Tox/Leung_2016_RTX/@Knowledgebase/Kim13NM19.pdf,131
