Month,VIRTUAL_PATH,Downloads
2015-11,/COMPTOX/DSSTox_Oct_2015/DSSTox_ToxCastRelease_20151019.zip,131
2015-11,/COMPTOX/Assay_Information/Assay_Information_Oct_2015.zip,121
2015-11,/COMPTOX/Summary_Files/README_INVITRODB_V2_SUMMARY.pdf,109
2015-11,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.pdf,106
2015-12,/COMPTOX/DSSTox_Oct_2015/DSSTox_ToxCastRelease_20151019.zip,104
2015-11,/COMPTOX/ToxCast_Data_Oct_2015/README_INVITRODB_V2_LEVEL5.pdf,101
2015-11,/COMPTOX/Assay_Information/README_INVITRODB_V2_ASSAYINFO.pdf,81
2015-11,/COMPTOX/ToxCast_Data_Oct_2015/INVITRODB_V2_LEVEL5.zip,80
2015-11,/COMPTOX/Summary_Files/INVITRODB_V2_SUMMARY.zip,74
2015-11,/COMPTOX/Animal_Tox_Data/readme_toxrefdb_20141106.pdf,71
2015-12,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.pdf,70
2015-11,/COMPTOX/Animal_Tox_Data/toxrefdb (1).zip,69
2015-11,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.txt,63
2015-11,/COMPTOX/MySQL_Data/README_INVITRODB_V2_MYSQL.pdf,60
2015-12,/COMPTOX/ToxCast_Data_Oct_2015/README_INVITRODB_V2_LEVEL5.pdf,59
2015-12,/COMPTOX/Summary_Files/README_INVITRODB_V2_SUMMARY.pdf,55
2015-10,/COMPTOX/ToxCast_Chemicals_DSSTox/chemicalfiles.zip,54
2015-10,/COMPTOX/Animal_Tox_Data/toxrefdb (1).zip,53
2015-12,/COMPTOX/Assay_Information/Assay_Information_Oct_2015.zip,50
2015-12,/COMPTOX/ToxCast_Data_Oct_2015/INVITRODB_V2_LEVEL5.zip,44
2015-12,/COMPTOX/Animal_Tox_Data/readme_toxrefdb_20141106.pdf,41
2015-12,/COMPTOX/Assay_Information/README_INVITRODB_V2_ASSAYINFO.pdf,39
2015-10,/COMPTOX/ToxCast_Summary_Files/ToxCast_Summary_Files (1).zip,39
2015-12,/COMPTOX/Summary_Files/INVITRODB_V2_SUMMARY.zip,39
2015-12,/COMPTOX/Animal_Tox_Data/toxrefdb (1).zip,38
2015-10,/COMPTOX/DSSTox_Oct_2015/DSSTox_ToxCastRelease_20151019.zip,37
2015-12,/COMPTOX/R_Programming_Language_Nov_2015/Pipeline_Overview.pdf,36
2015-10,/COMPTOX/Tox21_Data/ToxCast_Tox21_Level5&6_20141022.zip,36
2015-11,/COMPTOX/MySQL_Data/INVITRODB_V2_MYSQL.zip,33
2015-12,/COMPTOX/R_Programming_Language_Nov_2015/tcpl.pdf,33
2015-12,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.txt,29
2015-10,/COMPTOX/ToxCast_Annotation_Files/assay_annotation.zip,27
2015-10,/COMPTOX/ToxCast_Data_Oct_2015/INVITRODB_V2_LEVEL5.zip,27
2015-11,/COMPTOX/R_Programming_Language_Nov_2015/tcpl.pdf,26
2015-11,/COMPTOX/R_Programming_Language_Nov_2015/Pipeline_Overview.pdf,26
2015-12,/COMPTOX/MySQL_Data/README_INVITRODB_V2_MYSQL.pdf,22
2015-10,/COMPTOX/Assay_Information/Assay_Information_Oct_2015.zip,22
2015-11,/COMPTOX/Con_Resp_Oct_2015/INVITRODB_V2_PLOTS.zip,22
2015-10,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.pdf,22
2015-10,/COMPTOX/Summary_Files/INVITRODB_V2_SUMMARY.zip,20
2015-10,/COMPTOX/ToxCast_Assay_Quality_Stats/assay_quality.zip,16
2015-10,/COMPTOX/ToxCast_Data_Oct_2015/README_INVITRODB_V2_LEVEL5.pdf,14
2015-10,/COMPTOX/Summary_Files/README_INVITRODB_V2_SUMMARY.pdf,14
2015-10,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.txt,14
2015-11,/COMPTOX/R_Programming_Language_Nov_2015/tcpl_1.0.tar.gz,13
2015-12,/COMPTOX/R_Programming_Language_Nov_2015/tcpl_1.0.tar.gz,13
2015-10,/COMPTOX/Animal_Tox_Data/readme_toxrefdb_20141106.pdf,13
2015-10,/COMPTOX/MySQL_Data/README_INVITRODB_V2_MYSQL.pdf,12
2015-10,/COMPTOX/MySQL_Data/tcpl_0.3.tar.gz,9
2015-12,/COMPTOX/MySQL_Data/INVITRODB_V2_MYSQL.zip,8
2015-11,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_Chemical_List_and_Annotations/Chemical list & Annotation Files 12-11-2013.zip,8
2015-10,/COMPTOX/MySQL_Data/INVITRODB_V2_MYSQL.zip,8
2015-10,/COMPTOX/Assay_Information/README_INVITRODB_V2_ASSAYINFO.pdf,7
2015-11,/COMPTOX/Previous_Data/Jan_2010_PhaseI_ToxCast_Data/ToxCast_20110110.zip,7
2015-11,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_ToxCast_ToxRef_Data/ToxCast_AssayData_2013_12_11.zip,6
2015-10,/COMPTOX/Previous_Data/Jan_2010_PhaseI_ToxCast_Data/ToxCast_20110110.zip,6
2015-11,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Summary_Files/ToxCast_Summary_Files (1).zip,6
2015-10,/COMPTOX/MySQL_Data/MySQL_Database_v1.zip,5
2015-11,/COMPTOX/ToxCast_Concentration_Response/toxcast_plots.zip,5
2015-12,/COMPTOX/Con_Resp_Oct_2015/INVITRODB_V2_PLOTS.zip,5
2015-12,/COMPTOX/Previous_Data/Jan_2010_PhaseI_ToxCast_Data/ToxCast_20110110.zip,4
2015-11,/COMPTOX/Previous_Data/Dec_2014_Data_Release/MySQL_Database/tcpl_0.3.tar.gz,4
2015-11,/COMPTOX/Previous_Data/Dec_2014_Data_Release/Tox21_Data/ToxCast_Tox21_Level5&6_20141022.zip,4
2015-11,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Annotation_Files/assay_annotation.zip,4
2015-10,/COMPTOX/Previous_Data/Dec_2013_Chemical_List_and_Annotations/Chemical list & Annotation Files 12-11-2013.zip,4
2015-10,/COMPTOX/Previous_Data/Dec_2013_ToxCast_Data/ToxCast_AssayData_2013_12_11.zip,4
2015-11,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_ToxCast_ToxRef_Data/Dec_2013_Animal_Toxicity_Data/Animal Toxicity Studies Effects & EndPoints (ToxRefDB) 12-11-2013.zip,4
2015-11,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Chemicals_DSSTox/chemicalfiles.zip,4
2015-10,/COMPTOX/ToxCast_Concentration_Response/toxcast_plots.zip,4
2015-11,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Assay_Quality_Stats/assay_quality.zip,4
2015-10,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_Chemical_List_and_Annotations/Chemical list & Annotation Files 12-11-2013.zip,3
2015-10,/COMPTOX/Previous_Data/Dec_2013_Animal_Toxicity_Data/Animal Toxicity Studies Effects & EndPoints (ToxRefDB) 12-11-2013.zip,3
2015-11,/COMPTOX/Previous_Data/Dec_2014_Data_Release/Conc_Response_Curves/toxcast_plots.zip,3
2015-10,/COMPTOX/PUBLIC/Previous_Data/Dec_2014_Data_Release/ToxCast_Summary_Files/ToxCast_Summary_Files (1).zip,2
2015-10,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_ToxCast_ToxRef_Data/ToxCast_AssayData_2013_12_11.zip,2
2015-10,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_ToxCast_ToxRef_Data/Dec_2013_Animal_Toxicity_Data/Animal Toxicity Studies Effects & EndPoints (ToxRefDB) 12-11-2013.zip,2
2015-11,/COMPTOX/Previous_Data/Dec_2014_Data_Release/MySQL_Database/MySQL_Database_v1.zip,2
2015-10,/COMPTOX/Con_Resp_Oct_2015/INVITRODB_V2_PLOTS.zip,2
2015-10,/COMPTOX/Previous_Data/Dec_2014_Data_Release/Tox21_Data/ToxCast_Tox21_Level5&6_20141022.zip,2
2015-12,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Summary_Files/ToxCast_Summary_Files (1).zip,2
2015-12,/COMPTOX/ToxCast_Concentration_Response/toxcast_plots.zip,2
2015-12,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_Chemical_List_and_Annotations/Chemical list & Annotation Files 12-11-2013.zip,2
2015-12,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_ToxCast_ToxRef_Data/Dec_2013_Animal_Toxicity_Data/Animal Toxicity Studies Effects & EndPoints (ToxRefDB) 12-11-2013.zip,1
2015-12,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_ToxCast_ToxRef_Data/ToxCast_AssayData_2013_12_11.zip,1
2015-10,/COMPTOX/Previous_Data/Dec_2014_Data_Release/Conc_Response_Curves/toxcast_plots.zip,1
2015-11,/COMPTOX/assay_information/Assay_Information_Oct_2015.zip,1
2015-11,/COMPTOX/assay_information/README_INVITRODB_V2_ASSAYINFO.pdf,1
2015-11,/COMPTOX/PUBLIC/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.pdf,1
2015-10,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Summary_Files/ToxCast_Summary_Files (1).zip,1
2015-10,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Chemicals_DSSTox/chemicalfiles.zip,1
2015-10,/COMPTOX/PUBLIC/Previous_Data/Dec_2014_Data_Release/ToxCast_Annotation_Files/assay_annotation.zip,1
2015-10,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Annotation_Files/assay_annotation.zip,1
2015-10,/COMPTOX/Previous_Data/Dec_2014_Data_Release/MySQL_Database/MySQL_Database_v1.zip,1
2015-10,/COMPTOX/Previous_Data/Dec_2014_Data_Release/MySQL_Database/tcpl_0.3.tar.gz,1
2015-10,/COMPTOX/Previous_Data/Dec_2014_Data_Release/ToxCast_Assay_Quality_Stats/assay_quality.zip,1
2016-01,/COMPTOX/Summary_Files/README_INVITRODB_V2_SUMMARY.pdf,170
2016-01,/COMPTOX/DSSTox_Oct_2015/DSSTox_ToxCastRelease_20151019.zip,157
2016-01,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.pdf,133
2016-02,/COMPTOX/Summary_Files/README_INVITRODB_V2_SUMMARY.pdf,121
2016-02,/COMPTOX/DSSTox_Oct_2015/DSSTox_ToxCastRelease_20151019.zip,120
2016-01,/COMPTOX/ToxCast_Data_Oct_2015/README_INVITRODB_V2_LEVEL5.pdf,118
2016-01,/COMPTOX/Assay_Information/Assay_Information_Oct_2015.zip,110
2016-02,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.pdf,107
2016-01,/COMPTOX/Animal_Tox_Data/readme_toxrefdb_20141106.pdf,106
2016-01,/COMPTOX/ToxCast_Data_Oct_2015/INVITRODB_V2_LEVEL5.zip,105
2016-01,/COMPTOX/MySQL_Data/README_INVITRODB_V2_MYSQL.pdf,99
2016-01,/COMPTOX/Animal_Tox_Data/toxrefdb (1).zip,95
2016-02,/COMPTOX/ToxCast_Data_Oct_2015/README_INVITRODB_V2_LEVEL5.pdf,94
2016-01,/COMPTOX/Summary_Files/INVITRODB_V2_SUMMARY.zip,94
2016-01,/COMPTOX/R_Programming_Language_Nov_2015/tcpl.pdf,92
2016-01,/COMPTOX/Assay_Information/README_INVITRODB_V2_ASSAYINFO.pdf,88
2016-02,/COMPTOX/Assay_Information/Assay_Information_Oct_2015.zip,86
2016-01,/COMPTOX/R_Programming_Language_Nov_2015/Pipeline_Overview.pdf,83
2016-01,/COMPTOX/R_Programming_Language_Nov_2015/tcpl_1.0.tar.gz,76
2016-02,/COMPTOX/Animal_Tox_Data/readme_toxrefdb_20141106.pdf,74
2016-02,/COMPTOX/Assay_Information/README_INVITRODB_V2_ASSAYINFO.pdf,70
2016-02,/COMPTOX/Summary_Files/INVITRODB_V2_SUMMARY.zip,69
2016-03,/COMPTOX/Summary_Files/README_INVITRODB_V2_SUMMARY.pdf,68
2016-02,/COMPTOX/Animal_Tox_Data/toxrefdb (1).zip,67
2016-01,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.txt,65
2016-03,/COMPTOX/Assay_Information/Assay_Information_Oct_2015.zip,65
2016-02,/COMPTOX/R_Programming_Language_Nov_2015/tcpl.pdf,65
2016-02,/COMPTOX/R_Programming_Language_Nov_2015/Pipeline_Overview.pdf,56
2016-03,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.pdf,51
2016-03,/COMPTOX/DSSTox_Oct_2015/DSSTox_ToxCastRelease_20151019.zip,51
2016-02,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.txt,49
2016-02,/COMPTOX/ToxCast_Data_Oct_2015/INVITRODB_V2_LEVEL5.zip,44
2016-03,/COMPTOX/Assay_Information/README_INVITRODB_V2_ASSAYINFO.pdf,43
2016-03,/COMPTOX/R_Programming_Language_Nov_2015/tcpl.pdf,41
2016-03,/COMPTOX/Summary_Files/INVITRODB_V2_SUMMARY.zip,38
2016-02,/COMPTOX/MySQL_Data/README_INVITRODB_V2_MYSQL.pdf,37
2016-01,/COMPTOX/MySQL_Data/INVITRODB_V2_MYSQL.zip,35
2016-02,/COMPTOX/R_Programming_Language_Nov_2015/tcpl_1.0.tar.gz,29
2016-03,/COMPTOX/Animal_Tox_Data/readme_toxrefdb_20141106.pdf,29
2016-03,/COMPTOX/DSSTox_Oct_2015/README_DSSTOX_TOXCAST.txt,26
2016-03,/COMPTOX/ToxCast_Data_Oct_2015/README_INVITRODB_V2_LEVEL5.pdf,25
2016-03,/COMPTOX/MySQL_Data/README_INVITRODB_V2_MYSQL.pdf,23
2016-03,/COMPTOX/ToxCast_Data_Oct_2015/INVITRODB_V2_LEVEL5.zip,21
2016-03,/COMPTOX/Animal_Tox_Data/toxrefdb (1).zip,20
2016-03,/COMPTOX/R_Programming_Language_Nov_2015/Pipeline_Overview.pdf,19
2016-01,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_ToxCast_ToxRef_Data/ToxCast_AssayData_2013_12_11.zip,15
2016-02,/COMPTOX/ER_Model_Data/ER Model release version 2015-08-28.zip,14
2016-02,/COMPTOX/MySQL_Data/INVITRODB_V2_MYSQL.zip,14
2016-03,/COMPTOX/R_Programming_Language_Nov_2015/tcpl_1.0.tar.gz,13
2016-03,/COMPTOX/ER_Model_Data/ER Model release version 2015-08-28.zip,13
2016-01,/COMPTOX/Previous_Data/Jan_2010_PhaseI_ToxCast_Data/ToxCast_20110110.zip,11
2015-12,/COMPTOX/DSSTox_Oct_2015/DSSTox_ToxCastRelease_20151019.zip,10
2016-03,/COMPTOX/MySQL_Data/INVITRODB_V2_MYSQL.zip,10
2016-02,/COMPTOX/CERAPP_QSAR_Models/TrainingSet.zip,9
2016-02,/COMPTOX/CERAPP_QSAR_Models/EvaluationSet.zip,9
2016-02,/COMPTOX/Previous_Data/Jan_2010_PhaseI_ToxCast_Data/ToxCast_20110110.zip,9
2016-03,/COMPTOX/CERAPP_QSAR_Models/EvaluationSet.zip,8
2016-02,/COMPTOX/Previous_Data/Dec_2013_Data_Release/Dec_2013_ToxCast_ToxRef_Data/Dec_2013_Animal_Toxicity_Data/Animal Toxicity Studies Effects & EndPoints (ToxRefDB) 12-11-2013.zip,8
2016-01,/COMPTOX/Previous_Data/Dec_2014_Data_Release/Tox21_Data/ToxCast_Tox21_Level5&6_20141022.zip,7
